Dénomination actuelle;Fondateur(s) / Dirigeant(s) / Point de contact;Contact email;Site internet;Siège social (département);Nombre de salariés;Chiffre d'affaires;Nombre d'utilisateurs;Accompagnement / Incubation;En recherche financement;Cumul levée de fonds;Type d'innovation;Type de produits / services;Sport ciblé;Type d’utilisateurs;Clientèle cible;Résumé;Type de structure;Dernière levée de fonds;Année de création;Siège social (pays);Cas d'usage;Clients / Références;Statut de la solution;Catégorisation;Intégration / Compatibilité;Stade de développement;Niveau d'implantation marché français;Caractéristiques clés / proposition de valeur;Page Linkedin;Modèle économique;Awards
SportLeads;Anthony PERES (Fondateur);contact@sportleads.fr;https://www.sportleads.fr/;;01-oct;;;;Non;;Data / Analytics, Partenariat / Sponsoring;Agence de marketing digital et de génération de leads spécialisée dans l'industrie du sport.;Multisport;B2B;Club professionnel, Club amateur / Association, Fournisseur biens / services (dont salles);SportLeads est une agence qui utilise le marketing digital pour aider les entreprises et structures sportives (clubs, salles, coachs) à augmenter leurs ventes et à acquérir de nouveaux clients/adhérents.;Agence;;2020;France;Acquisition et conversion de leads qualifiés pour les professionnels du sport.;Clubs, Salles de sport, Coachs;Actif;Partenariat / Sponsoring, Gestion / Management, Data & analytics;Services de consulting digital, publicité ciblée;Jeune entreprise;National;Expertise unique en génération de leads pour l'économie du sport et du fitness.;https://www.linkedin.com/company/sportleads/;Prestations de services (honoraires, gestion de campagnes);
Sports Decisions;David REINBOLD (CEO);contact@sports-decisions.com;https://www.sports-decisions.com/;67 (Bas-Rhin);01-oct;;;;Non;;Data / Analytics, Intelligence artificielle / Machine Learning;Plateforme SaaS d'aide à la décision et de gestion des données pour les structures sportives et les collectivités.;Multisport;B2B;Club professionnel, Fédération, Collectivité;Sports Decisions propose un logiciel d'analyse et de visualisation des données (financières, sportives, opérationnelles) pour permettre aux dirigeants de clubs, fédérations et collectivités de prendre des décisions éclairées et d'optimiser leur gestion.;Start-up;;2019;France;Optimisation de la gestion, analyse de performance et de rentabilité pour les entités sportives.;Clubs professionnels, Collectivités locales;Actif;Data & analytics, Gestion / Management;Plateforme SaaS, intégration de multiples sources de données;Jeune entreprise;National;"Outil unique de ""business intelligence"" spécifiquement conçu pour l'écosystème sportif.";https://www.linkedin.com/company/sports-decisions/;Abonnement (SaaS B2B);
SportsTraveler;Lucas Bouyer;contact@sportstraveler.fr;https://sportstraveler.fr;Paris (75);2–10;<1 M€;501–2 500;SportTech;Oui;400 000 € ;Plateforme de réservation, Tourisme sportif;Plateforme e-commerce (SaaS);Multisports (Voyages et Stages sportifs);B2C;Voyageurs sportifs, Agences de voyage, Organisateurs d'événements;Plateforme de réservation en ligne pour des voyages sportifs clés en main (billets, hébergement, transport, activités sportives, événements).;Start-up;400 000 € (2022 - Pré-seed);2020;France;Organisation de séjours pour assister à des événements sportifs majeurs, stages d'entraînement (vélo, running) en France et à l'étranger.;Utilisateurs B2C, Agences de voyage partenaires, Clubs de supporters;Actif;Billetterie / Ticketing / Hospitality, Fan Experience / Fan engagement, Marketplace;Plateforme web (e-commerce);Phase de commercialisation;National/Européen;Simplifie l'organisation de voyages sportifs complets et personnalisés (événements, stages, séjours à thème).;https://www.linkedin.com/company/sportstraveler-sas;Commission sur les ventes (Marketplace/Agence de voyage);
Sporty Peppers;;contact@sportypeppers.com;https://www.sportypeppers.com/#contact;;01-oct;;;;Non;;Gestion / Management, Marketplace;Plateforme de gestion et de mise en relation pour les équipements sportifs;Multisport;B2B;Club amateur / Association, Organisateur événement / compétition;Sporty Peppers est une plateforme aidant les gérants d'équipements sportifs à optimiser la gestion de leurs terrains/salles et à gérer les réservations, tout en offrant une mise en relation avec des prestataires de services liés au sport.;Start-up;;;France;Optimisation de l'utilisation des installations sportives, gestion de l'offre et de la demande.;Clubs, municipalités, prestataires de services;Actif;Gestion / Management, Venue Management / Gestion de salle / Operations;Plateforme web et mobile de réservation;Jeune entreprise;National;Facilite la gestion des infrastructures sportives et la recherche de prestataires (marketplace).;https://www.linkedin.com/company/sportypeppers/;Abonnement (SaaS), Commission (Marketplace);
SportyPeppers;Thibaut Seguin;contact@sportypeppers.com;https://sportypeppers.com;Haute-Garonne (31) / Siège social : Hauts-de-Seine (92);2–10;<1 M€;0–100;SportTech;Oui;0;Application mobile, Intelligence Artificielle, Gestion d'entraînement;Application de coaching (SaaS);Tous sports;B2B, B2C;Clubs amateurs, Coachs, Sportifs amateurs;Application qui permet aux coachs sportifs de créer, gérer et partager des séances d'entraînement personnalisées avec leurs athlètes, via une bibliothèque d'exercices vidéo.;Start-up;;2021;France;Gestion de la planification d'entraînement, suivi de la charge et de la progression des athlètes, communication entre coach et athlète.;Coachs sportifs, Clubs amateurs, Athlètes B2C;Actif;Athletes & performance, Gestion / Management;Application mobile (iOS/Android), Plateforme web (SaaS);Phase de démarrage;National;La solution pour digitaliser et optimiser le suivi de l'entraînement par le coach, en s'appuyant sur des contenus vidéo.;https://www.linkedin.com/company/sportypeppers;Abonnement (SaaS B2B - Coachs/Clubs), Abonnement (SaaS B2C - Athlètes);
Sprintbok;N/A (Conçu par NOHrD / Distribué par WaterRower France);;https://waterrower.fr/produits/sprintbok;;;;;;Non;;IoT / Trackers / Wearables, Innovation technologique;Tapis de course incurvé et non motorisé en bois;Course à pied, Fitness;B2B, B2C;Club professionnel, Sportif amateur, Fournisseur biens / services (dont salles);Le Sprintbok est un tapis de course innovant et écologique, non motorisé et à lattes, dont la vitesse est régulée uniquement par la force du coureur. Il se distingue par son design et sa technologie de course proche du naturel.;Autre (Marque/Fabricant);;2016;Allemagne (Fabricant principal);Entraînement de haute intensité et rééducation physique en salle.;Salles de sport, particuliers, centres de performance;Actif;Athletes & performance, Retail & merchandising;Design ergonomique, application intégrée sur écran (si optionnel);Établi;International;Tapis de course incurvé de haute qualité, écologique (non motorisé) et design.;https://www.linkedin.com/showcase/nohrd-france/;Vente de produits (Retail);Prix German Design Award (2018)
SquadEasy;Sophie ANDRIEU (Fondatrice & CEO);contact@squadeasy.com;https://www.squadeasy.com/;78 (Yvelines);nov-50;;;;Non;2,2 M€;Innovation sociale / Inclusion, Gamification;Application de challenges sportifs connectés et gamifiés pour les entreprises;Multisport;B2B;Entreprise;SquadEasy est une application de sport connecté qui propose aux entreprises des challenges d'activité physique (marche, course, vélo...) basés sur la gamification et l'esprit d'équipe, dans le cadre de la RSE et du bien-être au travail.;Start-up;2,2 M€ (2020);2016;France;Amélioration de la QVT (Qualité de Vie au Travail), promotion de l'activité physique en entreprise, cohésion d'équipe.;Grandes entreprises (Sodexo, SNCF, etc.);Actif;RSE & durabilité, Fan Experience / Fan engagement, IoT / Trackers / Wearables;Application mobile, synchronisation avec objets connectés et autres applications sportives.;International;Utilisation de la gamification et d'une monnaie virtuelle (Squadeasy Coins) pour encourager l'activité physique et la solidarité (RSE).;https://www.linkedin.com/company/squadeasy/;Abonnement (SaaS B2B);;
STAD IN;N/A (Dirigeant : Christophe F.);;https://www.stadin.fr/;59 (Nord);01-oct;;;;Non;;Gestion / Management;Logiciel de gestion de centres sportifs et de gestion de tournois/championnats;Football, Multisport;B2B;Club amateur / Association, Organisateur événement / compétition, Fournisseur biens / services (dont salles);STAD IN propose un logiciel tout-en-un pour la gestion administrative, sportive, commerciale et événementielle des complexes et centres de sport (foot à 5, padel, etc.) et l'organisation de tournois.;Start-up;;2018;France;Optimisation de la gestion opérationnelle des centres sportifs, simplification des inscriptions et des paiements.;Centres de foot à 5, clubs omnisports;Actif;Gestion / Management, Venue Management / Gestion de salle / Operations;Logiciel SaaS, application de gestion;Jeune entreprise;National;Solution complète et modulaire, spécialement conçue pour les gérants de centres sportifs (réservation, encaissement, statistiques).;https://www.linkedin.com/company/stadin/;Abonnement (SaaS);
Stadium Live;Baptiste Derongs;contact@stadiumlive.com;https://stadiumlive.com;Paris (75);11–50;1–10 M€;>100 000;SportTech;Oui;5 000 000 € ;Web3, NFT, Gamification, Data en temps réel;Plateforme d'engagement fans (SaaS);Football, eSport, Basketball;B2C;Fans de sports, Marques, Clubs;Plateforme de gamification et d'engagement pour les fans de sport qui propose des jeux de prédiction, des classements, des récompenses et des expériences Web3 (NFT) basées sur les données live.;Start-up;5 M€ (2022 - Seed);2021;France;Jeu de Fantasy League en direct, collection de NFT d'événements sportifs, engagement communautaire autour des matchs.;Utilisateurs B2C, Clubs et Ligues (Partenariats), Marques (Sponsoring);Actif;Gaming / Fantasy / Esport, Fan Experience / Fan engagement, Partenariat / Sponsoring;Application mobile (iOS/Android), API (pour données live);Établi;International;Le hub de divertissement pour les fans de sports de la nouvelle génération, mixant Web2 et Web3.;https://www.linkedin.com/company/stadiumlive;Vente de NFT, Partenariats de sponsoring, Publicité in-app;
StadiumGO;Alexis Juhel;contact@stadiumgo.fr;https://stadiumgo.fr;Rhône (69);2–10;<1 M€;>100 000;SportTech;Oui;1 200 000 € ;Mobilité, RSE, Plateforme de covoiturage;Plateforme de covoiturage (SaaS/Web);Football, Rugby, Événementiel Multisports;B2B2C;Clubs, Organisateurs d'événements, Supporters;Plateforme de **covoiturage** dédiée aux événements sportifs, visant à faciliter l'accès aux stades et réduire l'empreinte carbone des spectateurs.;Start-up;300 000 € (2023 - Pré-seed);2020;France;Covoiturage pour les matchs à domicile et les déplacements extérieurs, réduction de la congestion routière autour des stades, engagement RSE des clubs.;Clubs de Football/Rugby (Ligue 1, Pro D2), Organisateurs de Grands Événements;Actif;RSE & durabilité, Venue Management / Gestion de salle / Operations, Fan Experience / Fan engagement;Plateforme web, Widgets intégrables sur les sites de billetterie des clubs;Phase de commercialisation;National/Européen;La solution de mobilité partagée pour un accès aux stades plus simple, convivial et écologique.;https://www.linkedin.com/company/stadiumgo;Abonnement (SaaS B2B - Clubs/Organisateurs), Commission/Frais de service (B2C);
Stadline;Pierre LALOYE (Fondateur & Dirigeant);contact@stadline.com;https://www.stadline.com/;69 (Rhône);nov-50;;;;Non;;Gestion / Management, Data / Analytics;Logiciel de gestion des licences et compétitions pour les fédérations sportives;Multisport;B2B;Fédération, Ligue / Comité;Stadline développe des solutions logicielles sur mesure pour les fédérations, ligues et comités sportifs, notamment pour la gestion des licences, des compétitions, des arbitres et des données.;Autre (Éditeur de logiciel);;2009;France;Numérisation de la gestion fédérale (licences, compétitions, résultats).;Fédérations sportives (Tennis de Table, Handisport, etc.);Actif;Gestion / Management, Data & analytics;Logiciel sur mesure (SaaS);Établi;National;Spécialiste de la gestion fédérale, solution robuste pour les organisations complexes.;https://www.linkedin.com/company/stadline/;Prestations de services, Licence logicielle;
Stakemate;N/A (Développé par Bet Theory UK LTD);;stakemate.com;London, England;01-oct;;;;;;Web3 / Blockchain / Tokenisation, Fan Experience / Fan engagement;Application de paris sportifs sociaux (Group Bet, partage de paris).;Multisport (Football, NFL, Tennis, etc.);B2C;Fan / Supporter;Stakemate est une communauté qui permet aux utilisateurs de parier sur le sport avec leurs amis. L'application rend l'expérience de pari plus sociale et amusante, que ce soit sur le football, le football américain, ou le tennis.;Start-up;;2022;Royaume-Uni;Paris sportifs entre amis, création et partage de paris groupés.;;Actif;Gaming / Fantasy / Esport (Paris), Fan Experience / Fan engagement;Application mobile, intégration avec les paris sportifs (licence);Jeune entreprise;Faible;Application de paris sportifs sociaux pour parier en groupe et partager des stratégies entre amis.;https://www.linkedin.com/company/stakemate/;Commission sur les paris, B2C;
Step App (France);David Becker;contact@stepapp.io;https://stepapp.io;Paris (75);11–50;1–10 M€;>100 000;SportTech;Oui;10 000 000 € ;Web3, Move-to-Earn, NFT;Application mobile (Web3/GameFi);Fitness, Running, Marche;B2C;Utilisateurs finaux, Communauté Web3;Application **Move-to-Earn (M2E)** qui récompense l'activité physique (marche, course) par des cryptomonnaies et des actifs numériques (NFT) via la technologie Web3.;Start-up;10 M€ (2022 - Private Sale);2022;France;"Gagner des récompenses en faisant de l'exercice (FITFI token), collectionner des ""Sneakers"" NFT, créer une communauté fitness/Web3.";Communauté Web3, Utilisateurs B2C actifs;Actif;Gaming / Fantasy / Esport, Athletes & performance, Marketplace;Application mobile (iOS/Android), Intégration Blockchain (Avalanche), NFT (Sneakers);Établi;International (Focus sur la communauté crypto);Fusionne le fitness et la finance décentralisée (GameFi) pour monétiser l'activité physique.;https://www.linkedin.com/company/stepapp-io;Vente d'actifs numériques (NFT), Frais de transaction (Marketplace), Publicité;
